-707122.1990307780	  inf
-686286.5992314026	2.94653e-02
-675882.2118158869	1.51604e-02
-670765.8989548561	7.56983e-03
-667904.6391171290	4.26566e-03
-666090.1115880175	2.71675e-03
-664730.6653777967	2.04093e-03
-663746.0951149657	1.48116e-03
-662975.7731630722	1.16057e-03
-662374.3098863189	9.07218e-04
-661868.0001705368	7.64386e-04
-661479.4915480148	5.86988e-04
-661129.2327751968	5.29508e-04
-660840.5606781819	4.36635e-04
-660616.0996219708	3.39660e-04
-660429.8879833977	2.81876e-04
-660211.6078848501	3.30512e-04
-660036.1261046622	2.65796e-04
-659857.2465288939	2.71015e-04
-659726.4161695425	1.98271e-04
-659578.4017588840	2.24357e-04
-659474.6870282936	1.57244e-04
-659349.8316515102	1.89326e-04
-659243.9597986049	1.60570e-04
-659144.4502038336	1.50945e-04
-659054.6064868786	1.36304e-04
-658979.4023561560	1.14109e-04
-658904.5956977610	1.13519e-04
-658811.4378222757	1.41383e-04
-658713.6183317096	1.48479e-04
-658644.5291217285	1.04885e-04
-658569.2877111787	1.14237e-04
-658491.6989106578	1.17814e-04
-658426.3728458270	9.92056e-05
